nombre,telefono,direccion,notas,autorizados
Ana Martínez,1154327781,"Av. Rivadavia 8421, Villa Luro",Prefiere retiro por la tarde,Carlos Martínez; Lucía Martínez
Lucas Fernández,1168451290,"Murature 524, Liniers",Cliente frecuente,Mariana Díaz
Sofía Benítez,1139124408,"Ramón Falcón 6975, Mataderos",Avisar por WhatsApp,Nicolás Benítez
Martín Gómez,1173205514,"Emilio Castro 7382, Mataderos",Paga con transferencia,Camila Gómez; Diego Gómez
Valentina Ruiz,1146759032,"Albariño 1947, Lugano",Deja bolsas grandes,Paula Ruiz
Julián Pérez,1158083349,"Juan B. Justo 9120, Versalles",No mezclar blancos con color,
Carolina Silva,1162330188,"Lope de Vega 1462, Monte Castro",Retira su pareja,Federico Silva
Diego López,1129017734,"Av. Álvarez Jonte 5143, Monte Castro",Cliente nuevo,Sabrina López
Paula Sosa,1177442091,"Zelada 5410, Villa Luro",Sensible a perfumes fuertes,Ramiro Sosa
Germán Castro,1160029817,"Cuzco 227, Liniers",Trae acolchados en temporada,
Florencia Torres,1134876620,"Miralla 983, Parque Avellaneda",Pedir seña si supera 30000,Tomás Torres; Laura Torres
Matías Roldán,1156792405,"Av. Directorio 6120, Mataderos",Quiere ticket impreso,Micaela Roldán
Rocío Herrera,1178904516,"Bacacay 6025, Floresta",Retiro sábado por la mañana,
Santiago Molina,1145123709,"Pola 1043, Mataderos",Separar ropa deportiva,Ivana Molina
Micaela Arias,1167713982,"Av. Escalada 2815, Lugano",No usar suavizante,Lucas Arias
Bruno Domínguez,1132098841,"García de Cossio 6221, Villa Luro",Entrega en local,
Camila Vega,1159012233,"White 748, Floresta",Paga mitad al ingreso,Agustín Vega
Nora Quiroga,1164201975,"Patrón 6854, Liniers","Adulto mayor, llamar antes",Elena Quiroga
Tomás Ibáñez,1171665028,"Fonrouge 1120, Mataderos",Ropa de trabajo con manchas,
Mariana Acosta,1143987601,"Av. Alberdi 7890, Villa Luro",Prefiere efectivo,Pablo Acosta
Gabriel Núñez,1152768044,"Cosquín 1520, Liniers",Trae cortinas cada tanto,Marta Núñez
Julieta Romano,1169085573,"Pieres 1041, Mataderos",Avisar cuando esté listo,Sebastián Romano
Leandro Cabrera,1135769102,"Homero 920, Versalles",Bolsa azul propia,
Natalia Ferreyra,1175036419,"Araujo 2190, Monte Castro",No doblar camisas,Ezequiel Ferreyra
