cliente;telefono;prenda;cantidad;precio;estado;fecha_ingreso;fecha_retiro;pago;medio;deposito;notas
Peluquería Roma;5491199990011;Secado;1;2800;Retirado;2023-01-20;2023-01-27;Abonado;Efectivo;;No usar suavizante
Ana Martínez;5491123456789;Valet bolsa chica;1;4200;Retirado;2023-01-25;2023-01-30;Abonado;Efectivo;;Cliente pide aviso por WhatsApp
Federico Acosta;5491133334455;Acolchado 1 plaza;1;7500;Retirado;2023-02-09;2023-02-15;Abonado;Efectivo;;Retira autorizado
Carlos Rodríguez;5491134567890;Acolchado 2 plazas;1;9800;Retirado;2023-02-21;2023-02-28;Abonado;Efectivo;;No usar suavizante
Sofía Herrera;5491167890123;Camisas;7;1100;Retirado;2023-03-07;2023-03-13;Abonado;Transferencia;;Revisar manchas antes de lavar
Juan Pérez;5491198765432;Lavado + secado;1;5200;Retirado;2023-03-13;2023-03-17;Abonado;Efectivo;;No usar suavizante
Paula Medina;5491144445566;Secado;4;2800;Retirado;2023-03-23;2023-03-28;Abonado;Transferencia;;Separar ropa clara y oscura
Café Los Pinos;5491120202020;Mantel;1;3100;Retirado;2023-03-24;2023-03-27;Abonado;Transferencia;;Separar ropa clara y oscura
Ana Martínez;5491123456789;Ropa de trabajo;4;1900;Retirado;2023-04-04;2023-04-06;Abonado;Efectivo;;Retira autorizado
Carolina Ruiz;5491166667788;Lavado común;1;3500;Retirado;2023-04-10;2023-04-17;Abonado;Transferencia;;Pedido de prueba para demo
Consultorio Belgrano;5491101010101;Acolchado 2 plazas;3;9800;Retirado;2023-04-12;2023-04-14;Abonado;Transferencia;;Separar ropa clara y oscura
Camila Suárez;5491122223344;Valet bolsa grande;1;6500;Retirado;2023-05-08;2023-05-12;Abonado;Transferencia;;Cliente pide aviso por WhatsApp
Martín Cabrera;5491155556677;Camisas;5;1100;Retirado;2023-05-15;2023-05-22;Abonado;Transferencia;;Revisar manchas antes de lavar
Peluquería Roma;5491199990011;Fundas de almohada;7;900;Retirado;2023-05-24;2023-05-25;Abonado;Transferencia;;Retira autorizado
Gimnasio Norte;5491188889900;Ropa de trabajo;4;1900;Retirado;2023-06-05;2023-06-12;Abonado;Transferencia;;Retira autorizado
Café Los Pinos;5491120202020;Acolchado 1 plaza;1;7500;Retirado;2023-06-05;2023-06-08;Abonado;Transferencia;;
Gimnasio Norte;5491188889900;Camisas;5;1100;Retirado;2023-06-12;2023-06-19;Abonado;Efectivo;;Separar ropa clara y oscura
Ana Martínez;5491123456789;Ropa de trabajo;4;1900;Retirado;2023-07-05;2023-07-07;Abonado;Transferencia;;Retira autorizado
Mateo Silva;5491178901234;Valet bolsa chica;1;4200;Retirado;2023-07-19;2023-07-20;Abonado;Transferencia;;Cliente pide aviso por WhatsApp
Nicolás Romero;5491190123456;Acolchado 2 plazas;4;9800;Retirado;2023-08-14;2023-08-18;Abonado;Transferencia;;Pedido de prueba para demo
Peluquería Roma;5491199990011;Lavado común;1;3500;Retirado;2023-08-21;2023-08-25;Abonado;Efectivo;;Separar ropa clara y oscura
Hotel Avenida;5491177778899;Ropa de trabajo;4;1900;Retirado;2023-09-04;2023-09-05;Abonado;Transferencia;;Retira autorizado
Carlos Rodríguez;5491134567890;Lavado + secado;1;5200;Retirado;2023-09-11;2023-09-12;Abonado;Efectivo;;Pedido de prueba para demo
Ana Martínez;5491123456789;Valet bolsa chica;2;4200;Retirado;2023-09-18;2023-09-20;Abonado;Transferencia;;No usar suavizante
Sofía Herrera;5491167890123;Toallas;3;1800;Retirado;2023-09-19;2023-09-25;Abonado;Efectivo;;Revisar manchas antes de lavar
Consultorio Belgrano;5491101010101;Lavado + secado;1;5200;Retirado;2023-09-25;2023-10-02;Abonado;Efectivo;;Cliente pide aviso por WhatsApp
Juan Pérez;5491198765432;Acolchado 2 plazas;1;9800;Retirado;2023-10-04;2023-10-06;Abonado;Efectivo;;Separar ropa clara y oscura
Federico Acosta;5491133334455;Acolchado 2 plazas;1;9800;Retirado;2023-10-24;2023-10-25;Abonado;Efectivo;;Retira autorizado
Peluquería Roma;5491199990011;Sábanas;2;2600;Retirado;2023-11-06;2023-11-09;Abonado;Efectivo;;Revisar manchas antes de lavar
Ana Martínez;5491123456789;Sábanas;2;2600;Retirado;2023-11-20;2023-11-21;Abonado;Efectivo;;Cliente pide aviso por WhatsApp
